FPR,TPR
0.010367049593723731,0.005952380952380952
0.01933314653964696,0.021825396825396824
0.028019052956010086,0.03968253968253968
0.037545530961053515,0.051587301587301584
0.04623143737741665,0.06944444444444445
0.056318296441580276,0.07738095238095238
0.06612496497618381,0.0873015873015873
0.07621182404034743,0.09523809523809523
0.08629868310451107,0.10317460317460317
0.0963855421686747,0.1111111111111111
0.10647240123283833,0.11904761904761904
0.11599887923788176,0.13095238095238096
0.1260857383020454,0.1388888888888889
0.1308489773045671,0.14285714285714285
0.0,0.0
0.13981507425049033,0.15873015873015872
0.14878117119641357,0.1746031746031746
0.1571868870832166,0.19444444444444445
0.1661529840291398,0.21031746031746032
0.17595965256374335,0.22023809523809523
0.18576632109834687,0.23015873015873015
0.1961333706920706,0.2361111111111111
0.20509946763799383,0.251984126984127
0.21462594564303727,0.2638888888888889
0.22387223311852059,0.2777777777777778
0.23339871112356403,0.2896825396825397
0.24348557018772765,0.2976190476190476
0.25301204819277107,0.30952380952380953
0.2622583356682544,0.32341269841269843
0.27150462314373774,0.3373015873015873
0.28159148220790137,0.34523809523809523
0.2877556738582236,0.3492063492063492
0.29756234239282714,0.35912698412698413
0.30736901092743063,0.36904761904761907
0.31801625105071446,0.373015873015873
0.3283833006444382,0.37896825396825395
0.33818996917904176,0.3888888888888889
0.3477164471840852,0.4007936507936508
0.3572429251891286,0.4126984126984127
0.36760997478285234,0.42658730158730157
0.37769683384701597,0.43452380952380953
0.3866629307929392,0.4503968253968254
0.397310170916223,0.45436507936507936
0.40711683945082655,0.4662698412698413
0.4177640795741104,0.47023809523809523
0.42729055757915385,0.48214285714285715
0.43625665452507706,0.498015873015873
0.4404595124684786,0.501984126984127
0.4494256094144018,0.5178571428571429
0.45727094424208464,0.5416666666666666
0.46763799383580834,0.5476190476190477
0.47828523395909217,0.5515873015873016
0.4883720930232558,0.5595238095238095
0.49733818996917906,0.5753968253968254
0.5068646679742225,0.5873015873015873
0.5175119080975064,0.5912698412698413
0.5270383861025497,0.6031746031746031
0.5365648641075932,0.6150793650793651
0.5460913421126365,0.626984126984127
0.5553376295881199,0.6408730158730159
0.5662650602409639,0.6428571428571429
0.5732698234799664,0.6507936507936508
0.5839170636032502,0.6547619047619048
0.5928831605491734,0.6706349206349206
0.6035304006724572,0.6746031746031746
0.613897450266181,0.6805555555555556
0.6245446903894648,0.6845238095238095
0.6349117399831886,0.6904761904761905
0.6449985990473522,0.6984126984126984
0.6545250770523956,0.7103174603174603
0.6648921266461194,0.7162698412698413
0.674978985710283,0.7242063492063492
0.6853460353040067,0.7301587301587301
0.6954328943681704,0.7380952380952381
0.7043989913140936,0.75
0.7150462314373774,0.753968253968254
0.7242925189128607,0.7678571428571429
0.7352199495657047,0.7698412698412699
0.7453068086298683,0.7777777777777778
0.7551134771644719,0.7876984126984127
0.7652003362286355,0.7956349206349206
0.775007004763239,0.8055555555555556
0.785934435416083,0.8075396825396826
0.7954609134211263,0.8194444444444444
0.8052675819557299,0.8293650793650794
0.8142336789016531,0.8452380952380952
0.8240403474362566,0.8551587301587301
0.8296441580274587,0.8611111111111112
0.8394508265620622,0.871031746031746
0.8495376856262258,0.878968253968254
0.8601849257495097,0.8829365079365079
0.8702717848136733,0.8908730158730159
0.8803586438778369,0.8988095238095238
0.8907256934715606,0.9047619047619048
0.9005323620061642,0.9146825396825397
0.910899411599888,0.9206349206349206
0.9209862706640516,0.9285714285714286
0.9316335107873354,0.9325396825396826
0.9420005603810592,0.9384920634920635
0.9515270383861025,0.9503968253968254
0.961053516391146,0.9623015873015873
0.9702998038666293,0.9761904761904762
0.9803866629307929,0.9841269841269841
0.9899131409358364,0.996031746031746
1.0,1.0
1.0,1.0
