,Unnamed: 0,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key,Average_Word_Length,Average_Wordlength,Proportion_Words_Longer_Than_Five,Average_Readability_Score,Average_Syllables_Per_Word
641,641,0,0,0,2016_89106,4.301435126,4.301435126,0.221974632,62.92422564,1.3080215990000001
420,420,0,0,1,2014_44146,4.33689823,4.33689823,0.22469871600000002,59.76480447,1.307470637
11,11,0,1,1,2016_15003,4.416656771,4.416656771,0.233114778,65.94338983,1.301435903
227,227,0,0,1,2017_28206,4.377822548,4.377822548,0.23442470899999998,64.78808376,1.322606016
141,141,0,0,0,2013_15221,4.34739302,4.34739302,0.230041632,40.16298507,1.302696695
588,588,0,0,1,2016_85307,4.3048380989999995,4.3048380989999995,0.22039016,55.4737415,1.312353401
462,462,0,0,0,2014_53714,4.340112071,4.340112071,0.230821093,56.78508571,1.311643872
21,21,0,0,0,2014_15035,4.347814593,4.347814593,0.239022342,58.004,1.31102585
492,492,0,1,1,2014_85008,4.309348048,4.309348048,0.22503853399999998,57.94766070000001,1.300872396
27,27,0,0,1,2015_15045,4.2556431980000005,4.2556431980000005,0.202389653,74.31125,1.305633965
296,296,0,0,0,2014_44052,4.317996697,4.317996697,0.217928995,49.50395833,1.304614617
97,97,0,0,0,2014_15144,4.348987421,4.348987421,0.22311789199999998,59.72576923,1.296861076
528,528,0,0,0,2017_85037,4.320116551,4.320116551,0.21716480800000001,70.66343333,1.3027831490000001
207,207,0,0,1,2014_28120,4.362177788,4.362177788,0.217545076,52.54571429,1.321081558
509,509,0,0,1,2013_85031,4.320934726,4.320934726,0.20948191300000002,61.47926667,1.283475591
354,354,0,0,1,2016_44112,4.281865541,4.281865541,0.21033022899999998,62.54222222,1.281941494
700,700,0,0,0,2014_93612,4.265124538,4.265124538,0.232318797,70.12888889,1.299351074
292,292,0,0,0,2015_44035,4.344963798,4.344963798,0.220507975,69.90592375,1.300805597
46,46,0,0,0,2015_15084,4.268380124,4.268380124,0.213818383,65.23961538,1.286164239
266,266,0,1,1,2015_29204,4.121506708,4.121506708,0.179586298,63.5075,1.255279512
