gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
0,0,0,11,4,0,0,1,2,1,2,1,2,0,5,0,1,0,0
0,0,0,17,4,2,1,1,5,1,4,2,4,0,6,0,1,2,0
0,1,1,17,5,3,0,2,4,0,2,1,2,2,8,0,2,2,1
0,1,1,13,2,4,1,2,4,1,3,2,3,0,4,0,2,2,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,8,4,4,0,0,2,2,2,0,2,0,1,0,2,1,2
0,0,0,11,8,5,1,2,1,5,4,1,4,1,2,0,2,4,2
0,0,0,19,10,6,0,3,5,8,6,1,6,2,5,0,4,5,2
0,0,0,19,8,10,3,5,6,8,5,3,5,1,4,0,5,6,3
0,0,0,17,10,9,1,5,6,7,4,2,4,2,4,0,5,5,3
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,6,1,1,1,0,0,1,0,0,0,1,3,0,0,0,1
0,0,0,8,2,0,2,0,0,1,0,0,0,0,4,1,0,0,1
0,0,0,6,2,1,0,0,0,1,0,0,0,1,3,0,0,0,1
0,0,0,7,3,0,1,0,0,1,0,0,0,0,4,1,0,0,1
0,0,1,3,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1
0,0,0,3,1,1,0,0,0,0,0,0,0,2,3,1,0,0,0
1,1,1,6,4,0,0,1,0,0,1,1,1,1,4,1,0,0,1
0,0,0,8,3,1,0,1,1,1,2,1,2,2,5,1,0,0,1
0,1,1,9,5,0,0,2,0,1,2,2,2,1,6,1,0,0,2
0,0,0,6,3,2,0,1,7,0,2,0,2,0,1,1,0,2,0
