,Unnamed: 0,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
124,55039,2016,1504,0,0,0,0,2016_15040
125,48434,2015,1524,0,0,0,0,2015_15240
126,50190,2016,1524,0,0,0,0,2016_15240
127,52225,2017,1524,1,0,1,1,2017_15240
128,41531,2013,1535,0,0,0,0,2013_15350
129,43277,2014,1535,0,0,0,0,2014_15350
130,31979,2013,1550,0,0,0,0,2013_15500
131,34132,2014,1550,0,0,0,0,2014_15500
132,37286,2015,1550,0,0,1,1,2015_15500
133,40675,2016,1550,1,0,1,1,2016_15500
134,43093,2017,1550,0,0,0,1,2017_15500
135,41161,2013,1562,0,0,0,0,2013_15620
136,42974,2014,1562,0,0,0,0,2014_15620
137,45485,2015,1562,0,0,0,0,2015_15620
138,47642,2016,1562,0,0,1,1,2016_15620
139,48811,2017,1562,0,0,0,0,2017_15620
140,41819,2013,1570,1,0,1,1,2013_15700
141,44673,2014,1570,1,0,1,1,2014_15700
142,46639,2015,1570,0,0,0,0,2015_15700
143,47589,2016,1570,0,0,0,0,2016_15700
144,49192,2017,1570,0,0,0,0,2017_15700
145,49186,2016,1571,0,0,0,0,2016_15710
146,51369,2017,1571,0,0,0,1,2017_15710
147,42642,2013,1585,0,0,0,0,2013_15850
148,44193,2014,1585,0,0,0,0,2014_15850
149,46190,2015,1585,0,0,0,0,2015_15850
150,48574,2016,1585,0,0,0,1,2016_15850
151,29858,2013,1603,1,0,1,1,2013_16030
152,31915,2014,1603,0,0,0,0,2014_16030
153,35381,2015,1603,0,0,0,1,2015_16030
154,39257,2016,1603,0,0,0,1,2016_16030
155,41389,2017,1603,0,0,0,1,2017_16030
156,36565,2013,1604,1,0,1,1,2013_16040
157,39346,2014,1604,0,0,0,1,2014_16040
158,42044,2015,1604,0,0,0,0,2015_16040
159,44538,2016,1604,0,0,1,1,2016_16040
160,46536,2017,1604,0,0,0,1,2017_16040
161,37641,2013,1605,0,0,1,1,2013_16050
162,39733,2014,1605,0,0,0,0,2014_16050
163,42054,2015,1605,0,0,0,0,2015_16050
164,44676,2016,1605,0,0,0,1,2016_16050
165,46830,2017,1605,0,0,1,1,2017_16050
166,38921,2016,1607,0,0,0,0,2016_16070
167,41777,2017,1607,0,0,0,1,2017_16070
168,19006,2013,1610,1,0,1,1,2013_16100
169,20657,2014,1610,0,0,0,0,2014_16100
170,22615,2015,1610,0,0,0,0,2015_16100
171,25703,2016,1610,0,0,0,1,2016_16100
172,30386,2017,1610,0,0,0,1,2017_16100
173,56322,2013,1702,0,0,0,1,2013_17020
174,57778,2014,1702,0,0,0,1,2014_17020
175,59146,2015,1702,0,0,0,1,2015_17020
176,60279,2016,1702,0,0,0,1,2016_17020
177,61685,2017,1702,0,0,0,1,2017_17020
178,59071,2013,1752,0,0,0,1,2013_17520
179,61680,2015,1752,0,0,0,0,2015_17520
180,62473,2016,1752,0,0,0,0,2016_17520
181,63246,2017,1752,0,0,0,1,2017_17520
182,53983,2013,1830,0,0,0,0,2013_18300
183,55239,2014,1830,0,0,0,0,2014_18300
184,56755,2015,1830,0,0,1,1,2015_18300
185,57952,2016,1830,1,0,1,1,2016_18300
186,59699,2017,1830,0,0,1,1,2017_18300
187,50596,2013,1832,0,0,0,0,2013_18320
188,52046,2014,1832,0,0,0,0,2014_18320
189,53869,2015,1832,0,0,0,1,2015_18320
190,55338,2016,1832,0,0,1,1,2016_18320
191,56973,2017,1832,0,0,0,1,2017_18320
192,54849,2013,1835,0,0,0,1,2013_18350
193,56039,2014,1835,0,0,0,0,2014_18350
194,57506,2015,1835,0,0,0,1,2015_18350
195,58457,2016,1835,0,0,0,0,2016_18350
196,59658,2017,1835,1,0,1,1,2017_18350
197,26107,2013,1841,0,0,1,1,2013_18410
198,29565,2014,1841,1,0,1,1,2014_18410
199,33309,2015,1841,0,0,1,1,2015_18410
200,36063,2016,1841,0,0,1,1,2016_18410
201,39447,2017,1841,0,0,1,1,2017_18410
202,41138,2013,1843,0,0,0,0,2013_18430
203,43226,2014,1843,0,0,1,1,2014_18430
204,46504,2015,1843,0,0,0,1,2015_18430
205,48855,2016,1843,0,0,0,1,2016_18430
206,51680,2017,1843,1,0,1,1,2017_18430
207,53754,2013,1844,1,0,1,1,2013_18440
208,55556,2014,1844,0,0,0,1,2014_18440
209,57664,2015,1844,0,0,1,1,2015_18440
210,59052,2016,1844,0,0,0,1,2016_18440
211,60341,2017,1844,0,0,0,1,2017_18440
212,37452,2013,1850,0,0,0,1,2013_18500
213,39313,2014,1850,0,0,0,0,2014_18500
214,41294,2015,1850,0,0,0,0,2015_18500
215,43614,2016,1850,0,0,0,1,2016_18500
216,46831,2017,1850,0,0,1,1,2017_18500
217,46668,2013,1851,0,0,0,1,2013_18510
218,48357,2014,1851,0,0,0,0,2014_18510
219,50353,2015,1851,0,0,0,0,2015_18510
220,52150,2016,1851,0,0,0,1,2016_18510
221,54011,2017,1851,0,0,0,1,2017_18510
222,45794,2013,1852,0,0,0,1,2013_18520
223,47508,2014,1852,0,0,0,0,2014_18520
224,48847,2015,1852,0,0,0,0,2015_18520
225,50086,2016,1852,0,0,0,0,2016_18520
226,52018,2017,1852,0,0,0,1,2017_18520
227,46030,2013,1854,0,0,0,1,2013_18540
228,47862,2014,1854,0,0,0,0,2014_18540
229,49821,2015,1854,0,0,0,0,2015_18540
230,51097,2016,1854,0,0,0,0,2016_18540
231,52647,2017,1854,0,0,0,1,2017_18540
232,42850,2013,1902,1,0,1,1,2013_19020
233,46159,2014,1902,0,0,0,1,2014_19020
234,49055,2015,1902,0,0,0,1,2015_19020
235,51098,2016,1902,1,0,1,1,2016_19020
236,52778,2017,1902,1,0,1,1,2017_19020
237,46642,2013,1905,0,0,0,0,2013_19050
238,49053,2014,1905,1,0,1,1,2014_19050
239,52128,2015,1905,1,0,1,1,2015_19050
240,54596,2016,1905,1,0,1,1,2016_19050
241,56586,2017,1905,0,0,0,1,2017_19050
242,62034,2013,1930,0,0,0,0,2013_19300
243,62695,2014,1930,0,0,0,0,2014_19300
244,63900,2015,1930,1,0,1,1,2015_19300
245,55344,2013,1952,0,0,0,0,2013_19520
